ticket_id,customer_id,created_date,ticket_type,priority,ticket_status,closed_date,resolution_hours,satisfaction_score,assigned_agent
T0000001,C05572,4/25/2026,Cancellation,High,Open,,,2,D. Garcia
T0000002,C07206,4/30/2026,Plan Change,Medium,Closed,4/30/2026,23,3,E. Wilson
T0000003,C00886,3/12/2025,Technical,Medium,Open,,,,C. Nguyen
T0000004,C08191,"Oct 13, 2025",Technical,Low,Resolved,10/15/2025,63,,C. Nguyen
T0000005,C12471,3/18/2025,Technical,Medium,Resolved,3/20/2025,60,3,C. Nguyen
T0000006,C05794,5/11/2026,Service Quality,Medium,Closed,"May 11, 2026",12,5,H. Martinez
T0000007,C10004,2/15/2025,Technical,Urgent,Open,,,,D. Garcia
T0000008,C07329,"Feb 09, 2026",  Technical  ,Medium,Resolved,2/18/2026,227,,C. Nguyen
T0000009,C09302,1/16/2026,Billing,Low ,Resolved,"Jan 17, 2026",28,5,B. Patel
T0000010,C01315,1/8/2026,Billing,High,Open,,,,A. Chen
T0000011,C06524,"Feb 09, 2025",Service Quality,Medium,Closed,2/11/2025,52,4,C. Nguyen
T0000012,C04249,5/8/2025,Account Access,  Medium  ,Closed,5/10/2025,71,,A. Chen
T0000013,C08464,1/11/2026,Account Access,Medium,Resolved,"Jan 15, 2026",103,2,a. chen
T0000014,C11916,"Feb 21, 2025",Cancellation,Low,Open,,,1,E. Wilson
T0000015,C06300,"Nov 23, 2025",Technical,Medium,Closed,11/25/2025,57, 2 ,E. Wilson
T0000016,C17820,3/9/2026, Plan Change,High,Resolved,3/9/2026,7,5,H. Martinez
T0000017,C06151,4/29/2026,Billing,Medium,Resolved,5/1/2026,61,3,B. Patel
T0000018,C08412,3/5/2026,Technical,Medium,Closed,3/8/2026,78,4,D. Garcia
T0000019, C14063 ,3/14/2026,Cancellation,High,Resolved,"Mar 14, 2026",12,5,B. Patel
T0000020,C15536,2/24/2025,Plan Change,Medium,Closed,2/25/2025,34, 2 ,G. Lee
T0000021,C17783,2/9/2026,Technical,Medium,Closed,"Feb 11, 2026",56,,B. Patel
T0000022,C06620,11/22/2025,Cancellation,High,Closed,11/22/2025,6,4,H. Martinez
T0000023,C01203,6/24/2025,Service Quality,Low,Closed,6/26/2025,55,1,G. Lee
T0000024,C00754,5/13/2026,Technical,Medium,Closed ,5/15/2026,62,5,A. Chen
T0000025,C13597,"Jun 05, 2026",Billing,Medium,Open,,,,F. Brown
T0000026,C11213,"Aug 12, 2025",Technical,Medium,Resolved,8/18/2025,160,1,H. Martinez
T0000027,C13054,11/5/2025,Billing,High, Closed,11/6/2025,30,4,E. Wilson
T0000028,C00669,"Jun 02, 2026",plan change,High,Closed,6/2/2026,12,3,D. Garcia
T0000029,C07586,11/26/2025,Account Access,Low,Closed,11/28/2025,56,4,H. Martinez
T0000030,C03573,2/10/2026,Plan Change,Medium,Open,,,,H. Martinez
T0000031,C09475,"Apr 23, 2026",Technical,Low,  Resolved  ,4/23/2026,16,3,F. Brown
T0000032,C00510,"May 03, 2026", Service Quality,Medium,Closed,5/5/2026,52,3,H. Martinez
T0000033,C10838,10/8/2025,Billing ,Medium,Closed,10/8/2025,3,,C. Nguyen
T0000034,C11359,"Oct 21, 2025",Account Access,Urgent,Closed,10/21/2025,14,4,F. Brown
T0000035,C07905,8/21/2025,Technical,Low,Resolved,8/25/2025,103, 4 ,E. Wilson
T0000036,C12207,5/23/2026,technical,Medium,Open,,,2,D. Garcia
T0000037,C06922 ,5/25/2026,Billing,Medium,Resolved,5/27/2026,54,4,e. wilson
T0000038,C04844,7/14/2025,Plan Change ,High,Open,,,,C. Nguyen
T0000039,C02338,"Nov 07, 2025",Account Access,Medium,Closed,11/10/2025,78,3,C. Nguyen
T0000040,C09243,4/12/2025,Account Access,High,Resolved,"Apr 12, 2025",14,4,B. Patel
T0000041,C14677,"Feb 01, 2026",Account Access,Low,Closed,"Feb 03, 2026",56,5,F. Brown
T0000042,C11292,"May 13, 2026",Service Quality,High,Closed,"May 15, 2026",66 hrs,4,G. Lee
T0000043,C09450,4/23/2026,Service Quality,High,Closed,4/23/2026,22,5,B. Patel
T0000044,C07325,12/12/2025,Account Access,Medium,Resolved,12/12/2025,12,,C. Nguyen
T0000045,C13020,1/30/2025,Cancellation,High,Open,,,1,B. Patel
T0000046,C08074,3/1/2025,Technical,Low ,Resolved,"Mar 04, 2025",90,4,H. Martinez
T0000047,C03904,9/8/2025,Technical,Medium,Closed,9/9/2025,37,1,B. Patel
T0000048,C04270,"Oct 25, 2025",Technical,High,Closed,10/27/2025,61 hrs,3,C. Nguyen
T0000049,C09876,4/14/2025,Billing,Medium,Open,,,1,D. Garcia
T0000050,C10685,4/19/2025,Plan Change,Low,Closed,4/20/2025,47,,E. Wilson
T0000051,C02205,"Mar 20, 2025",Technical,Urgent,Resolved,3/22/2025,57,5,B. Patel
T0000052,C03822,11/23/2025,Account Access,High,Closed,11/24/2025,24,5,G. Lee
T0000053,C05804,1/29/2026, Technical,Medium,Closed,1/31/2026,62 hrs,4,H. Martinez
T0000054,C08932,2/16/2025,Technical,Medium,Closed,"Feb 22, 2025",156,3,E. Wilson
T0000055,C05521,"Jan 23, 2025",Account Access,Low,Resolved,1/24/2025,30,4,D. Garcia
T0000056,C10177,3/31/2025,Technical,High,Closed,"Apr 01, 2025",29,5,A. Chen
T0000057,C05577,6/18/2025,Plan Change,Medium,Closed,6/18/2025,4,5,H. Martinez
T0000058,C17640,3/6/2025,technical,High,Closed,3/6/2025,17,1,H. Martinez
T0000059,C12609,"Sep 24, 2025",Service Quality,Urgent,Closed,"Sep 24, 2025",14,3,E. Wilson
T0000060,C06534,4/27/2025,Technical,medium,Open,,,2,D. Garcia
T0000061,C10967,1/11/2025,Technical,Low,Closed,1/13/2025,65,5,D. Garcia
T0000062,C16773,2/22/2026,Account Access,Medium, Resolved,2/27/2026,125,,E. Wilson
T0000063,C05797,"Sep 12, 2025",Service Quality,High ,Open,,,,C. Nguyen
T0000064,C08407,4/25/2025,Technical,Medium,Resolved,"Apr 27, 2025",48,3,E. Wilson
T0000065,C05773,3/30/2026,Cancellation,Low,Closed,3/30/2026,18,,A. Chen
